A00; Cólera
A00.0 ; Cólera Devida a Vibrio Cholerae 01, Biótipo Cholerae
A00.1 ; Cólera Devida a Vibrio Cholerae 01, Biótipo El Tor
A00.9 ; Cólera Não Especificada
A01 ; Febres Tifóide e Paratifóide
A01.0 ; Febre Tifóide
A01.1 ; Febre Paratifóide A
A01.2 ; Febre Paratifóide B
A01.3 ; Febre Paratifóide C
A01.4 ; Febre Paratifóide Não Especificada
A02 ; Outras Infecções Por Salmonella
A02.0 ; Enterite Por Salmonela
A02.1 ; Septicemia Por Salmonela
A02.2 ; Infecções Localizadas Por Salmonela
A02.8 ; Outras Infecções Especificadas Por Salmonela
A02.9 ; Infecção Não Especificada Por Salmonela
A03 ; Shiguelose
A03.0 ; Shiguelose Devida a Shigella Dysenteriae
A03.1 ; Shiguelose Devida a Shigella Flexneri
A03.2 ; Shiguelose Devida a Shigella Boydii
A03.3 ; Shiguelose Devida a Shigella Sonnei
A03.8 ; Outras Shigueloses
A03.9 ; Shiguelose Não Especificada
A04 ; Outras Infecções Intestinais Bacterianas
A04.0 ; Infecção Por Escherichia Coli Enteropatogênica
A04.1 ; Infecção Por Escherichia Coli Enterotoxigênica
A04.2 ; Infecção Por Escherichia Coli Enteroinvasiva
A04.3 ; Infecção Por Escherichia Coli Enterohemorrágica
A04.4 ; Outras Infecções Intestinais Por Escherichia Coli
A04.5 ; Enterite Por Campylobacter
A04.6 ; Enterite Devida a Yersinia Enterocolítica
A04.7 ; Enterocolite Devida a Clostridium Difficile
A04.8 ; Outras Infecções Bacterianas Intestinais Especificadas
A04.9 ; Infecção Intestinal Bacteriana Não Especificada
A05 ; Outras Intoxicações Alimentares Bacterianas, Não Classificadas em Outra Parte
A05.0 ; Intoxicação Alimentar Estafilocócica
A05.1 ; Botulismo
A05.2 ; Intoxicação Alimentar Devida a Clostridium Perfringens (Clostridium Welchii)
A05.3 ; Intoxicação Alimentar Devida a Vibrio Parahemolyticus
A05.4 ; Intoxicação Alimentar Devida a Bacillus Cereus
A05.8 ; Outras Intoxicações Alimentares Bacterianas Especificadas
A05.9 ; Intoxicação Alimentar Bacteriana Não Especificada
A06 ; Amebíase
A06.0 ; Disenteria Amebiana Aguda
A06.1 ; Amebíase Intestinal Crônica
A06.2 ; Colite Amebiana Não
A06.3 ; Ameboma Intestinal
A06.4 ; Abscesso Amebiano do Fígado
A06.5 ; Abscesso Amebiano do Pulmão
A06.6 ; Abscesso Amebiano do Cérebro
A06.7 ; Amebíase Cutânea
A06.8 ; Infecção Amebiana de Outras Localizações
A06.9 ; Amebíase Não Especificada
A07 ; Outras Doenças Intestinais Por Protozoários
A07.0 ; Balantidíase
A07.1 ; Giardíase (lamblíase)
A07.2 ; Criptosporidiose
A07.3 ; Isosporíase
A07.8 ; Outras Doenças Intestinais Especificadas Por Protozoários
A07.9 ; Doença Intestinal Não Especificada Por Protozoários
A08 ; Infecções Intestinais Virais, Outras e as Não Especificadas
A08.0 ; Enterite Por Rotavírus
A08.1 ; Gastroenteropatia Aguda Pelo Agente de Norwalk
A08.2 ; Enterite Por Adenovírus
A08.3 ; Outras Enterites Virais
A08.4 ; Infecção Intestinal Devida a Vírus Não Especificado
A08.5 ; Outras Infecções Intestinais Especificadas
A09 ; Diarréia e Gastroenterite de Origem Infecciosa Presumível
A15 ; Tuberculose Respiratória, Com Confirmação Bacteriológica e Histológica
A15.0 ; Tuberculose Pulmonar, Com Confirmação Por Exame Microscópico da Expectoração, Com ou Sem Cultura
A15.1 ; Tuberculose Pulmonar, Com Confirmação Somente Por Cultura
A15.2 ; Tuberculose Pulmonar, Com Confirmação Histológica
A15.3 ; Tuberculose Pulmonar, Com Confirmação Por Meio Não Especificado
A15.4 ; Tuberculose Dos Gânglios Intratorácicos, Com Confirmação Bacteriológica e Histológica
A15.5 ; Tuberculose da Laringe, da Traquéia e Dos Brônquios, Com Confirmação Bacteriológica e Histológica
